processor,emitter,condition,MAE,lower_err,upper_err
AQT,Emitter 1,RC 40 + NOX 1,0.0771629469042741,0.0134002292450579,0.0139736044551458
AQT,Emitter 2,RC 40 + NOX 1,0.0299217773060893,0.0066245717531767,0.006852188658228
AQT,Emitter 1,RC 40 + NOX 2,0.0411758233175151,0.007414783559468,0.0077971374324628
AQT,Emitter 2,RC 40 + NOX 2,0.0166646183193903,0.0033544641576668,0.0033990869066044
AQT,Emitter 1,RC 40 + NOX 3,0.0386342089377761,0.0074414987707088,0.0081042234950054
AQT,Emitter 2,RC 40 + NOX 3,0.0154936221572415,0.0029299861440936,0.0030169595819657
AQT,Emitter 1,RC 40 + NOX 4,0.0357718447865353,0.0059951013220934,0.0060300844821094
AQT,Emitter 2,RC 40 + NOX 4,0.0146460811852205,0.0023071522099792,0.0022914848553104
AQT,Emitter 1,RC 40 + NOX 6,0.0289388305680636,0.0057805679045973,0.005946126882727
AQT,Emitter 2,RC 40 + NOX 6,0.0157019426339898,0.0025110827969447,0.002603784405342
AQT,Emitter 1,No err. mit.,0.0716368998115156,0.0126849843055991,0.0125625191677116
AQT,Emitter 2,No err. mit.,0.032482303950496,0.0051227594279907,0.0050592206630333
AQT,Emitter 1,RC 40,0.0373010442335021,0.0064668310928104,0.006723248054431
AQT,Emitter 2,RC 40,0.0207851710276927,0.00288781433476,0.0031051761490408
AQT,Emitter 1,RC 80,0.0361405701143677,0.0056930515219515,0.005928706871724
AQT,Emitter 2,RC 80,0.0207374061581155,0.002926035876882,0.0026365251234096
AQT,Emitter 1,Manually compiled,0.1332557446177347,0.0117189876509428,0.011465129088775
AQT,Emitter 2,Manually compiled,0.0096040046642397,0.0017279621640611,0.001878064808096
QSCOUT,Emitter 1,Manually compiled,0.1332557446177347,0.0106079631247505,0.0106632230392852
QSCOUT,Emitter 2,Manually compiled,0.0096040046642397,0.0017965981702577,0.0018065728451492
QSCOUT,Emitter 1,Superstaq,0.0487574181918448,0.0097160523918842,0.0093329985382972
QSCOUT,Emitter 2,Superstaq,0.019739116555586307,0.0031747387347325975,0.003506531061068352
QSCOUT,Emitter 1,Mirror SWAPs,0.0402345353847228,0.0077451692962893,0.008946243314949
QSCOUT,Emitter 2,Mirror SWAPs,0.0190235339158389,0.0036227784429955,0.0039641969924517
